sample_id,fuel,set_id,source_set_id,candidate_pair_index,flow_setting,sync_timestamp,rgb_timestamp,ir_timestamp,thermal_timestamp,rgb_ir_delta_ms,thermal_time_delta_ms,thermal_frame_index,thermal_fps,thermal_video_width,thermal_video_height,thermal_video_frame_count,rgb_sequence,ir_sequence,rgb_tick_ms,ir_tick_ms,rgb_path,ir_path,thermal_path,source_rgb_path,source_ir_path,source_thermal_video,thermal_extract_flag,gas_timestamp,gas_time_delta_s,gas_source_line,gas_match_flag,gas_raw_efficiency_percent,gas_efficiency_percent,gas_raw_ambient_temp_c,gas_ambient_temp_c,gas_raw_stack_temp_c,gas_stack_temp_c,gas_raw_oxygen_percent,gas_oxygen_percent,gas_raw_carbon_monoxide_ppm,gas_carbon_monoxide_ppm,gas_raw_carbon_dioxide_percent,gas_carbon_dioxide_percent,gas_raw_stack_draft_inwc,gas_stack_draft_inwc,gas_raw_excess_air_percent,gas_excess_air_percent,gas_raw_nitric_oxide_ppm,gas_nitric_oxide_ppm,gas_raw_nitrogen_dioxide_ppm,gas_nitrogen_dioxide_ppm,gas_raw_oxides_of_nitrogen_ppm,gas_oxides_of_nitrogen_ppm,gas_qc_flag,gas_qc_reasons,gas_qc_warnings,gas_qc_version
flare_20260515_methane_set001_000010,methane,set-001,set-1,10,,2026-05-15 18:48:27.792032,2026-05-15 18:48:27.808032,2026-05-15 18:48:27.776032,2026-05-15 18:48:27.805937,32,13.905,138,25.009612,768,576,2602,10,11,2059578,2059546,data/methane/set-001/rgb/flare_20260515_methane_set001_000010_rgb.png,data/methane/set-001/ir/flare_20260515_methane_set001_000010_ir.png,data/methane/set-001/thermal/flare_20260515_methane_set001_000010_thermal.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\RGB\00000010_00000000001F6D3A.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\IR\00000011_00000000001F6D1A.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\Thermal\Rec_20260515_184822_189.mp4,ok,2026-05-15 18:48:28,0.207968,808,ok,N.A.,,36,36.0,332,332.0,15.3,15.3,1565,1565.0,0.9,0.9,0.0,0.0,OVER,,0.0,0.0,0.0,0.0,0.0,0.0,ok,,,gas-qc-v1
flare_20260515_methane_set001_000011,methane,set-001,set-1,11,,2026-05-15 18:48:28.292032,2026-05-15 18:48:28.323032,2026-05-15 18:48:28.261032,2026-05-15 18:48:28.285752,62,-6.28,150,25.009612,768,576,2602,11,12,2060093,2060031,data/methane/set-001/rgb/flare_20260515_methane_set001_000011_rgb.png,data/methane/set-001/ir/flare_20260515_methane_set001_000011_ir.png,data/methane/set-001/thermal/flare_20260515_methane_set001_000011_thermal.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\RGB\00000011_00000000001F6F3D.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\IR\00000012_00000000001F6EFF.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\Thermal\Rec_20260515_184822_189.mp4,ok,2026-05-15 18:48:28,-0.292032,808,ok,N.A.,,36,36.0,332,332.0,15.3,15.3,1565,1565.0,0.9,0.9,0.0,0.0,OVER,,0.0,0.0,0.0,0.0,0.0,0.0,ok,,,gas-qc-v1
flare_20260515_methane_set001_000012,methane,set-001,set-1,12,,2026-05-15 18:48:28.753032,2026-05-15 18:48:28.792032,2026-05-15 18:48:28.714032,2026-05-15 18:48:28.765568,78,12.536,162,25.009612,768,576,2602,12,13,2060562,2060484,data/methane/set-001/rgb/flare_20260515_methane_set001_000012_rgb.png,data/methane/set-001/ir/flare_20260515_methane_set001_000012_ir.png,data/methane/set-001/thermal/flare_20260515_methane_set001_000012_thermal.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\RGB\00000012_00000000001F7112.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\IR\00000013_00000000001F70C4.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\Thermal\Rec_20260515_184822_189.mp4,ok,2026-05-15 18:48:29,0.246968,809,ok,N.A.,,36,36.0,330,330.0,15.9,15.9,1737,1737.0,0.9,0.9,0.0,0.0,984,984.0,0.0,0.0,2,2.0,2,2.0,ok,,,gas-qc-v1
flare_20260515_methane_set001_000013,methane,set-001,set-1,13,,2026-05-15 18:48:29.159532,2026-05-15 18:48:29.230032,2026-05-15 18:48:29.089032,2026-05-15 18:48:29.165414,141,5.882,172,25.009612,768,576,2602,13,14,2061000,2060859,data/methane/set-001/rgb/flare_20260515_methane_set001_000013_rgb.png,data/methane/set-001/ir/flare_20260515_methane_set001_000013_ir.png,data/methane/set-001/thermal/flare_20260515_methane_set001_000013_thermal.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\RGB\00000013_00000000001F72C8.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\IR\00000014_00000000001F723B.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\Thermal\Rec_20260515_184822_189.mp4,ok,2026-05-15 18:48:29,-0.159532,809,ok,N.A.,,36,36.0,330,330.0,15.9,15.9,1737,1737.0,0.9,0.9,0.0,0.0,984,984.0,0.0,0.0,2,2.0,2,2.0,ok,,,gas-qc-v1
flare_20260515_methane_set001_000014,methane,set-001,set-1,14,,2026-05-15 18:48:29.901032,2026-05-15 18:48:29.776032,2026-05-15 18:48:30.026032,2026-05-15 18:48:29.885137,-250,-15.895,190,25.009612,768,576,2602,14,16,2061546,2061796,data/methane/set-001/rgb/flare_20260515_methane_set001_000014_rgb.png,data/methane/set-001/ir/flare_20260515_methane_set001_000014_ir.png,data/methane/set-001/thermal/flare_20260515_methane_set001_000014_thermal.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\RGB\00000014_00000000001F74EA.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\IR\00000016_00000000001F75E4.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\Thermal\Rec_20260515_184822_189.mp4,ok,2026-05-15 18:48:30,0.098968,810,ok,N.A.,,36,36.0,327,327.0,16.8,16.8,1868,1868.0,1.1,1.1,0.0,0.0,827,827.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,,,gas-qc-v1
flare_20260515_methane_set001_000015,methane,set-001,set-1,15,,2026-05-15 18:48:30.495532,2026-05-15 18:48:30.355032,2026-05-15 18:48:30.636032,2026-05-15 18:48:30.484907,-281,-10.625,205,25.009612,768,576,2602,15,17,2062125,2062406,data/methane/set-001/rgb/flare_20260515_methane_set001_000015_rgb.png,data/methane/set-001/ir/flare_20260515_methane_set001_000015_ir.png,data/methane/set-001/thermal/flare_20260515_methane_set001_000015_thermal.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\RGB\00000015_00000000001F772D.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\IR\00000017_00000000001F7846.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\Thermal\Rec_20260515_184822_189.mp4,ok,2026-05-15 18:48:30,-0.495532,810,ok,N.A.,,36,36.0,327,327.0,16.8,16.8,1868,1868.0,1.1,1.1,0.0,0.0,827,827.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,,,gas-qc-v1
flare_20260515_methane_set001_000016,methane,set-001,set-1,16,,2026-05-15 18:48:31.057532,2026-05-15 18:48:30.995032,2026-05-15 18:48:31.120032,2026-05-15 18:48:31.044691,-125,-12.841,219,25.009612,768,576,2602,16,18,2062765,2062890,data/methane/set-001/rgb/flare_20260515_methane_set001_000016_rgb.png,data/methane/set-001/ir/flare_20260515_methane_set001_000016_ir.png,data/methane/set-001/thermal/flare_20260515_methane_set001_000016_thermal.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\RGB\00000016_00000000001F79AD.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\IR\00000018_00000000001F7A2A.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\Thermal\Rec_20260515_184822_189.mp4,ok,2026-05-15 18:48:31,-0.057532,813,ok,N.A.,,N.A.,,36,36.0,36,36.0,324,324.0,17.6,17.6,0.5,0.5,4443,4443.0,0.0,0.0,913,913.0,0.0,0.0,reject,carbon_dioxide_percent_outside_0_15;oxygen_percent_outside_0_23;oxygen_plus_co2_gt_23;stack_temp_equals_oxygen_small,ambient_temp_missing,gas-qc-v1
flare_20260515_methane_set001_000017,methane,set-001,set-1,17,,2026-05-15 18:48:31.463532,2026-05-15 18:48:31.401032,2026-05-15 18:48:31.526032,2026-05-15 18:48:31.444538,-125,-18.994,229,25.009612,768,576,2602,17,19,2063171,2063296,data/methane/set-001/rgb/flare_20260515_methane_set001_000017_rgb.png,data/methane/set-001/ir/flare_20260515_methane_set001_000017_ir.png,data/methane/set-001/thermal/flare_20260515_methane_set001_000017_thermal.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\RGB\00000017_00000000001F7B43.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\IR\00000019_00000000001F7BC0.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\Thermal\Rec_20260515_184822_189.mp4,ok,2026-05-15 18:48:31,-0.463532,813,ok,N.A.,,N.A.,,36,36.0,36,36.0,324,324.0,17.6,17.6,0.5,0.5,4443,4443.0,0.0,0.0,913,913.0,0.0,0.0,reject,carbon_dioxide_percent_outside_0_15;oxygen_percent_outside_0_23;oxygen_plus_co2_gt_23;stack_temp_equals_oxygen_small,ambient_temp_missing,gas-qc-v1
flare_20260515_methane_set001_000018,methane,set-001,set-1,18,,2026-05-15 18:48:31.893532,2026-05-15 18:48:31.870032,2026-05-15 18:48:31.917032,2026-05-15 18:48:31.884369,-47,-9.163,240,25.009612,768,576,2602,18,20,2063640,2063687,data/methane/set-001/rgb/flare_20260515_methane_set001_000018_rgb.png,data/methane/set-001/ir/flare_20260515_methane_set001_000018_ir.png,data/methane/set-001/thermal/flare_20260515_methane_set001_000018_thermal.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\RGB\00000018_00000000001F7D18.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\IR\00000020_00000000001F7D47.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\Thermal\Rec_20260515_184822_189.mp4,ok,2026-05-15 18:48:32,0.106468,816,ok,N.A.,,36,36.0,319,319.0,18.0,18.0,1946,1946.0,0.4,0.4,0.0,0.0,OVER,,0.0,0.0,0.0,0.0,0.0,0.0,ok,,,gas-qc-v1
flare_20260515_methane_set001_000019,methane,set-001,set-1,19,,2026-05-15 18:48:32.292032,2026-05-15 18:48:32.308032,2026-05-15 18:48:32.276032,2026-05-15 18:48:32.284215,32,-7.817,250,25.009612,768,576,2602,19,21,2064078,2064046,data/methane/set-001/rgb/flare_20260515_methane_set001_000019_rgb.png,data/methane/set-001/ir/flare_20260515_methane_set001_000019_ir.png,data/methane/set-001/thermal/flare_20260515_methane_set001_000019_thermal.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\RGB\00000019_00000000001F7ECE.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\IR\00000021_00000000001F7EAE.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\Thermal\Rec_20260515_184822_189.mp4,ok,2026-05-15 18:48:32,-0.292032,816,ok,N.A.,,36,36.0,319,319.0,18.0,18.0,1946,1946.0,0.4,0.4,0.0,0.0,OVER,,0.0,0.0,0.0,0.0,0.0,0.0,ok,,,gas-qc-v1
flare_20260515_methane_set001_000020,methane,set-001,set-1,20,,2026-05-15 18:48:32.800032,2026-05-15 18:48:32.839032,2026-05-15 18:48:32.761032,2026-05-15 18:48:32.804015,78,3.983,263,25.009612,768,576,2602,20,22,2064609,2064531,data/methane/set-001/rgb/flare_20260515_methane_set001_000020_rgb.png,data/methane/set-001/ir/flare_20260515_methane_set001_000020_ir.png,data/methane/set-001/thermal/flare_20260515_methane_set001_000020_thermal.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\RGB\00000020_00000000001F80E1.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\IR\00000022_00000000001F8093.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\Thermal\Rec_20260515_184822_189.mp4,ok,2026-05-15 18:48:33,0.199968,817,ok,N.A.,,36,36.0,314,314.0,18.3,18.3,1914,1914.0,0.7,0.7,0.0,0.0,OVER,,0.0,0.0,0.0,0.0,0.0,0.0,ok,,,gas-qc-v1
